id,category,subcategory,name,name_ar,brand,price,old_price,currency,rating,review_count,images,short_description,description,ingredients,benefits,tags,concern,in_stock,is_new,is_featured,is_flash_sale,discount_percent
p1,skincare,serums,Golden Radiance Serum,,Dr. Karam,2450,2950,EGP,4.8,214,img:serum1;img:serum1b;img:serum1c,"24k gold-infused brightening serum for a luminous, even complexion.","A weightless, fast-absorbing serum formulated with 24k colloidal gold, vitamin C and hyaluronic acid to visibly brighten, firm and hydrate the skin. Dermatologist-developed for daily use, morning and night.",24K Colloidal Gold;Vitamin C;Hyaluronic Acid;Niacinamide;Squalane,Brightens complexion;Reduces fine lines;Deep hydration;Evens skin tone,bestseller;brightening,Brightening;Hydration,yes,yes,yes,no,
p2,skincare,moisturizers,Velvet Rose Night Cream,,Velvet Atelier,1890,,EGP,4.6,132,img:cream1;img:cream1b,"Rich, restorative overnight cream with Damascus rose and peptides.","Sink into overnight recovery with this luxuriously rich cream, blending Damascus rose extract, ceramides and peptides to restore skin barrier and reduce the appearance of fine lines by morning.",Damascus Rose Extract;Ceramides;Peptide Complex;Shea Butter,Deep overnight repair;Softens fine lines;Restores skin barrier,night-care,Anti-Aging;Hydration,yes,no,yes,no,
p3,makeup,foundation,Silk Matte Foundation,,Maison Élan,1350,,EGP,4.7,301,img:found1;img:found1b,"Full-coverage, second-skin matte foundation, 24h wear.","A featherlight, buildable foundation that blurs imperfections and controls shine for a natural matte finish that lasts up to 24 hours without settling into fine lines.",Silica Microspheres;Vitamin E;SPF 15,Full coverage;24h wear;Oil control,bestseller,,yes,yes,yes,no,
p4,fragrance,eau-de-parfum,Noir Oud Eau de Parfum,,Noir Botanics,3600,4200,EGP,4.9,189,img:perfume1;img:perfume1b,"A smoky, opulent oud fragrance layered with amber and saffron.","An intoxicating oriental composition opening with saffron and rose, deepening into a smoky oud and amber base. Bottled in hand-finished glass for the connoisseur.",Oud;Amber;Saffron;Rose Absolute,12h+ longevity;Rich sillage;Unisex scent,luxury,,yes,no,no,yes,15
p5,haircare,hair-oils,Argan Repair Hair Oil,,Lumière,980,,EGP,4.5,98,img:hairoil1;img:hairoil1b,Nourishing Moroccan argan oil for strength and shine.,"Cold-pressed Moroccan argan oil blended with vitamin E to repair split ends, tame frizz and restore natural shine, without weighing hair down.",Argan Oil;Vitamin E;Jojoba Oil,Repairs split ends;Adds shine;Reduces frizz,haircare,Repair;Shine,yes,no,no,no,
p6,bodycare,body-butter,Champagne Body Butter,,Velvet Atelier,1120,,EGP,4.4,76,img:body1;img:body1b,Whipped shea body butter with a subtle champagne shimmer.,"An indulgent whipped body butter that melts into skin, leaving a subtly luminous champagne shimmer and 48-hour hydration.",Shea Butter;Cocoa Butter;Mica Shimmer,48h hydration;Subtle shimmer finish;Fast-absorbing,body,,yes,yes,no,no,
p7,skincare,eye-care,Pearl Infusion Eye Cream,,Dr. Karam,1680,,EGP,4.6,154,img:eye1;img:eye1b,De-puffing eye cream with pearl extract and caffeine.,"A cooling, lightweight eye cream that visibly reduces puffiness and dark circles with pearl extract, caffeine and peptides.",Pearl Extract;Caffeine;Peptides;Cucumber Extract,Reduces puffiness;Brightens dark circles;Cooling effect,eye-care,Anti-Aging,yes,no,yes,no,
p8,makeup,lips,Velvet Matte Lipstick,,Maison Élan,720,,EGP,4.7,267,img:lip1;img:lip1b,Weightless matte lipstick in 12 couture shades.,A creamy-to-matte lipstick that glides on effortlessly and sets to a soft-focus finish that lasts through dinner without drying out lips.,Shea Butter;Vitamin E;Jojoba Esters,12h wear;Non-drying formula;12 shades,bestseller,,yes,no,yes,no,
p9,fragrance,eau-de-parfum,Jasmine Bloom Eau de Parfum,,Lumière,2900,,EGP,4.5,88,img:perfume2;img:perfume2b,"A fresh floral bouquet of jasmine, white musk and citrus.","An airy, sunlit floral built around Egyptian jasmine, layered with white musk and a citrus top note for effortless daytime elegance.",Jasmine;White Musk;Bergamot,Long-lasting;Fresh floral profile,floral,,yes,yes,no,no,
p10,skincare,serums,Retinol Renewal Complex,,Dr. Karam,2150,2600,EGP,4.8,176,img:retinol1;img:retinol1b,"Encapsulated retinol for smoother, firmer skin overnight.","A clinically-dosed, encapsulated retinol formula that minimizes irritation while delivering visible improvements in texture, tone and fine lines.",Encapsulated Retinol;Bakuchiol;Ceramides,Smooths texture;Reduces fine lines;Gentle on skin,anti-aging,Anti-Aging,yes,no,no,yes,18
